"blueWins","blueWardsPlaced","blueWardsDestroyed","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueTowersDestroyed","blueTotalGold","blueAvgLevel","blueTotalExperience","blueTotalMinionsKilled","blueTotalJungleMinionsKilled","blueGoldDiff","blueExperienceDiff","redWardsPlaced","redWardsDestroyed","redFirstBlood","redKills","redDeaths","redAssists","redEliteMonsters","redTowersDestroyed","redTotalGold","redAvgLevel","redTotalExperience","redTotalMinionsKilled","redTotalJungleMinionsKilled","redGoldDiff","redExperienceDiff"
0,14,2,"0",7,12,8,0,0,16804,6.6,16732,184,52,-1072,-646,12,3,"1",12,7,16,0,0,17876,7,17378,194,24,1072,646
0,16,3,"1",7,13,9,0,0,17372,6.8,17530,202,56,-2817,-1700,21,1,"0",13,7,17,1,0,20189,7.2,19230,218,58,2817,1700
1,17,4,"0",4,3,7,1,0,15162,6.6,16973,195,49,-243,-465,21,2,"1",3,4,4,0,0,15405,6.6,17438,235,53,243,465
0,18,5,"0",3,3,7,1,0,14742,6.6,16390,202,57,-1517,-1565,16,4,"1",3,3,5,0,0,16259,7,17955,255,49,1517,1565
0,13,1,"0",0,6,0,0,0,13078,6.2,15827,184,61,-3205,-3400,30,5,"1",6,0,4,1,0,16283,7.4,19227,210,54,3205,3400
0,14,3,"0",2,5,4,0,0,13886,6.6,17234,203,45,-2820,-2751,17,3,"1",5,2,1,1,0,16706,7.4,19985,255,72,2820,2751
1,19,4,"1",7,3,13,1,0,16632,6.8,16709,212,32,1722,1010,20,5,"0",3,7,4,0,0,14910,6.2,15699,224,44,-1722,-1010
1,14,0,"1",6,2,5,2,0,17215,7,19549,264,57,1978,1595,13,1,"0",2,6,2,0,0,15237,7,17954,199,71,-1978,-1595
1,15,5,"1",11,9,8,0,0,17528,7,18271,191,48,171,618,37,3,"0",9,11,10,0,0,17357,6.6,17653,209,32,-171,-618
0,13,4,"0",5,3,9,1,0,16555,7.2,19152,252,52,659,405,15,1,"1",3,5,3,1,0,15896,7,18747,238,57,-659,-405
1,16,8,"0",6,11,7,1,0,15246,6.6,16135,174,43,-2974,-2746,26,3,"1",11,6,9,1,0,18220,7.2,18881,198,59,2974,2746
0,94,3,"0",3,9,3,0,0,14033,6.2,15049,184,44,-3078,-3306,22,2,"1",9,3,10,1,0,17111,7.4,18355,204,52,3078,3306
0,17,3,"1",7,6,6,0,0,16778,7,17473,205,59,1153,282,18,2,"0",6,7,9,1,0,15625,6.6,17191,203,52,-1153,-282
1,15,2,"1",11,5,8,2,0,18960,7.4,20136,225,63,3878,2862,15,3,"0",5,11,3,0,0,15082,6.8,17274,204,43,-3878,-2862
1,15,1,"1",5,1,5,2,0,17065,7,18930,220,54,2717,1557,12,4,"0",1,5,1,0,0,14348,7,17373,227,62,-2717,-1557
1,88,4,"1",9,7,8,0,0,18283,7.4,19207,243,44,3038,3164,21,7,"0",7,9,5,1,0,15245,6.4,16043,147,52,-3038,-3164
0,17,3,"0",4,7,6,0,0,15190,6.6,16345,196,47,-1903,-584,42,4,"1",7,4,14,1,0,17093,6.6,16929,206,64,1903,584
1,15,0,"1",9,5,8,0,0,18192,6.8,18534,229,44,3518,2843,12,0,"0",5,9,7,1,0,14674,6.4,15691,188,32,-3518,-2843
1,15,3,"0",7,7,12,0,0,17329,6.8,17342,212,60,216,259,49,2,"1",7,7,12,0,0,17113,6.8,17083,181,52,-216,-259
0,34,2,"1",5,8,3,0,0,16422,7,18934,247,52,-509,-196,15,1,"0",8,5,8,1,0,16931,6.8,19130,218,48,509,196
0,12,1,"0",9,6,14,0,0,17385,7,18061,208,36,978,372,18,3,"1",6,9,7,1,0,16407,7,17689,226,54,-978,-372
1,51,4,"1",11,3,9,1,0,16663,7,18021,188,64,1884,1871,16,2,"0",3,11,2,0,0,14779,6.4,16150,208,40,-1884,-1871
1,18,2,"1",10,4,13,1,0,17902,7.2,18882,186,50,2224,2062,15,2,"0",4,10,7,1,0,15678,6.6,16820,208,44,-2224,-2062
0,22,3,"0",8,11,9,1,0,17398,7,18429,206,36,-1079,252,21,5,"1",11,8,7,1,0,18477,7,18177,233,44,1079,-252
0,15,1,"0",5,7,6,0,0,15532,6.8,17712,201,40,-1768,-1778,14,4,"1",7,5,8,2,0,17300,7.4,19490,253,59,1768,1778
0,15,3,"0",6,6,4,1,0,15412,6.8,17010,197,48,-886,-476,16,3,"1",6,6,8,0,0,16298,6.8,17486,205,52,886,476
1,68,2,"1",9,3,16,0,0,17718,7,18091,209,48,3017,1450,17,2,"0",3,9,2,0,0,14701,6.8,16641,197,52,-3017,-1450
0,16,7,"1",8,8,9,1,0,17055,7,17918,199,48,-431,120,20,2,"0",8,8,13,0,0,17486,7,17798,221,52,431,-120
0,81,0,"0",6,12,6,0,0,16020,6.8,17180,215,39,-2618,-2637,15,3,"1",12,6,7,0,0,18638,7.6,19817,212,52,2618,2637
0,17,6,"1",6,6,6,2,0,16254,7,17969,203,48,-740,-665,16,4,"0",6,6,9,0,0,16994,7,18634,238,60,740,665
1,15,0,"1",12,5,13,1,0,19201,7.2,18883,214,67,3982,3457,12,2,"0",5,12,7,0,0,15219,6.2,15426,182,47,-3982,-3457
0,16,1,"0",5,10,6,0,0,15994,6.8,17730,211,50,-2028,-1740,12,3,"1",10,5,7,1,0,18022,7.2,19470,242,58,2028,1740
1,15,1,"0",10,4,8,1,2,20352,7.4,19537,232,57,5649,3668,14,2,"1",4,10,6,1,0,14703,6.4,15869,200,38,-5649,-3668
0,9,1,"0",0,9,0,0,0,12756,6.4,16250,190,54,-4949,-4010,15,2,"1",9,0,7,2,0,17705,7.4,20260,253,52,4949,4010
1,16,2,"1",8,3,5,2,1,18661,7.4,19718,233,56,4867,4211,14,1,"0",3,8,7,0,0,13794,6.6,15507,169,40,-4867,-4211
0,20,2,"0",2,6,2,2,0,15488,6.8,18660,265,67,-978,-226,20,2,"1",6,2,8,0,0,16466,7.2,18886,220,43,978,226
0,16,2,"0",8,4,9,0,0,17547,7,18409,214,67,2425,1426,55,1,"1",4,8,6,0,0,15122,6.6,16983,233,38,-2425,-1426
1,17,2,"1",12,6,11,1,0,19189,7.4,20302,227,49,3815,2726,16,1,"0",6,12,5,0,0,15374,6.6,17576,203,50,-3815,-2726
1,44,3,"1",7,5,4,1,0,16749,7,18142,192,60,976,2257,13,2,"0",5,7,8,0,0,15773,6.6,15885,209,35,-976,-2257
1,14,5,"1",5,4,6,1,0,16214,7.2,18139,257,54,862,-426,20,3,"0",4,5,3,0,0,15352,7,18565,219,56,-862,426
0,13,0,"1",4,3,6,0,0,15500,7,18238,216,44,-403,-26,57,5,"0",3,4,3,1,0,15903,7,18264,242,54,403,26
0,85,3,"0",2,6,3,0,0,14735,7,17898,219,51,-2204,-1476,22,4,"1",6,2,5,1,0,16939,7.2,19374,243,52,2204,1476
1,21,3,"1",9,9,11,1,0,17489,6.6,16724,221,40,-219,-1275,40,5,"0",9,9,13,0,0,17708,6.8,17999,226,44,219,1275
1,13,2,"1",16,5,16,1,0,20380,7.2,20228,230,36,5330,4040,18,2,"0",5,16,3,1,0,15050,6.6,16188,173,44,-5330,-4040
1,15,0,"1",9,4,12,2,0,18048,7,19194,227,61,3414,1608,51,2,"0",4,9,1,0,0,14634,6.8,17586,237,28,-3414,-1608
0,18,2,"1",5,4,4,0,0,15843,6.6,16776,220,42,792,-622,16,3,"0",4,5,4,0,0,15051,6.8,17398,185,49,-792,622
1,23,3,"1",4,7,5,0,0,16810,7,18437,224,76,-146,-399,19,5,"0",7,4,8,2,0,16956,7,18836,235,49,146,399
0,13,4,"1",5,5,5,1,0,15204,7,17694,182,40,-1578,-1724,17,1,"0",5,5,8,0,0,16782,7.2,19418,250,55,1578,1724
1,18,1,"1",5,6,5,0,0,16006,7,18385,225,40,-769,-701,13,5,"0",6,5,5,1,0,16775,7,19086,235,52,769,701
1,15,1,"0",6,3,6,0,0,16746,7,17690,204,55,1860,1798,15,1,"1",3,6,5,0,0,14886,6.4,15892,225,38,-1860,-1798
1,20,0,"1",10,3,8,0,0,17648,7.2,18419,181,56,3525,2979,14,3,"0",3,10,4,0,0,14123,6.4,15440,183,44,-3525,-2979
1,13,3,"1",12,8,18,1,0,18047,7,18071,202,44,679,-305,12,4,"0",8,12,7,1,0,17368,7,18376,206,44,-679,305
0,16,3,"0",1,5,1,0,0,13976,6.6,17001,210,58,-2555,-1896,17,4,"1",5,1,4,1,0,16531,7.2,18897,234,68,2555,1896
0,72,1,"1",11,6,5,0,0,17264,7.2,18859,196,38,765,425,15,9,"0",6,11,4,2,0,16499,7.2,18434,212,56,-765,-425
0,60,1,"1",6,8,6,0,0,16767,7,18062,228,53,-1221,-2380,16,1,"0",8,6,7,2,0,17988,7.4,20442,252,64,1221,2380
1,26,3,"0",10,6,10,0,0,19488,7.4,20329,230,67,4492,3211,12,0,"1",6,10,3,1,0,14996,6.8,17118,181,45,-4492,-3211
0,16,0,"0",3,4,4,0,0,15875,6.8,17351,241,42,186,-273,38,5,"1",4,3,4,0,0,15689,7.2,17624,232,45,-186,273
1,14,1,"1",8,7,7,1,0,17717,7.4,19042,203,66,1227,996,14,0,"0",7,8,8,0,0,16490,6.8,18046,225,49,-1227,-996
1,14,2,"0",5,7,1,1,0,16864,7,19251,240,57,-70,-456,14,0,"1",7,5,5,1,0,16934,7.6,19707,223,65,70,456
0,37,4,"0",3,4,3,0,0,14788,7,17425,227,46,-1605,-1335,18,2,"1",4,3,4,0,0,16393,7.2,18760,252,54,1605,1335
0,14,2,"0",4,9,4,0,0,14743,6.4,15965,197,50,-3465,-3351,20,3,"1",9,4,10,1,0,18208,7.4,19316,224,74,3465,3351
0,13,7,"1",11,10,20,1,0,17949,6.6,16183,172,41,-431,-1022,45,1,"0",10,11,10,1,0,18380,6.6,17205,207,48,431,1022
1,21,4,"0",8,7,9,0,0,17737,7.2,18303,193,50,1083,451,16,4,"1",7,8,2,0,0,16654,7.2,17852,207,44,-1083,-451
0,13,5,"0",5,6,5,0,0,15307,7,18407,218,39,-1259,-360,20,6,"1",6,5,12,0,0,16566,7.2,18767,250,47,1259,360
0,13,1,"0",4,12,4,0,0,13973,6.2,15260,166,45,-6801,-4611,77,4,"1",12,4,14,1,1,20774,7.4,19871,234,44,6801,4611
1,14,0,"1",7,10,8,1,0,18089,7.4,18770,225,77,1158,191,14,1,"0",10,7,8,1,0,16931,7.2,18579,202,38,-1158,-191
1,18,3,"1",7,3,6,2,0,17224,7.2,18597,237,56,2053,1371,16,4,"0",3,7,4,0,0,15171,6.6,17226,237,43,-2053,-1371
1,20,2,"0",11,7,12,0,0,17649,7.2,18664,187,42,604,1983,16,1,"1",7,11,8,1,0,17045,6.6,16681,187,62,-604,-1983
1,15,1,"0",3,7,5,1,1,16886,7,17965,244,53,75,616,18,0,"1",7,3,14,1,0,16811,7,17349,195,60,-75,-616
0,16,3,"1",2,4,2,0,0,14584,6.6,16647,235,47,-542,-927,14,1,"0",4,2,5,0,0,15126,6.8,17574,211,52,542,927
1,21,3,"1",9,7,13,0,0,17331,6.8,17982,201,59,1099,-98,20,3,"0",7,9,7,1,0,16232,6.8,18080,195,52,-1099,98
1,88,4,"1",8,4,4,1,0,17763,7,18822,246,48,2183,263,14,1,"0",4,8,6,0,0,15580,7,18559,212,68,-2183,-263
1,14,4,"1",4,4,5,2,0,16814,7,18549,220,70,791,224,16,1,"0",4,4,6,0,0,16023,7,18325,228,56,-791,-224
0,13,0,"0",3,8,2,0,0,14500,6.6,16097,209,50,-3614,-3434,16,1,"1",8,3,10,1,0,18114,7.2,19531,222,60,3614,3434
0,11,2,"1",11,2,9,2,0,17435,7,19432,236,52,1220,589,14,2,"0",2,11,2,0,0,16215,7,18843,241,68,-1220,-589
0,14,1,"1",4,5,3,0,0,14682,6.6,17105,199,50,-1827,-2059,17,1,"0",5,4,5,0,0,16509,7.4,19164,235,48,1827,2059
0,17,2,"0",8,5,8,0,0,16752,7,18737,229,32,583,751,14,2,"1",5,8,5,1,0,16169,7,17986,201,55,-583,-751
0,13,2,"1",3,2,5,1,0,15649,7.2,18818,227,67,-334,-1054,54,3,"0",2,3,1,1,0,15983,7.4,19872,238,84,334,1054
0,18,8,"0",6,11,9,0,0,16124,7,17595,232,37,-2494,-1188,20,5,"1",11,6,18,1,0,18618,7,18783,230,50,2494,1188
1,11,4,"1",18,13,6,0,1,21132,7.2,19294,236,44,2658,2407,166,0,"0",13,18,16,0,0,18474,6.6,16887,154,31,-2658,-2407
1,20,1,"0",9,9,10,1,0,17569,6.8,17411,228,37,-116,-303,18,4,"1",9,9,11,1,0,17685,7,17714,207,45,116,303
1,16,3,"1",9,8,11,2,0,17097,6.8,16795,202,46,-197,-2391,75,4,"0",8,9,8,0,0,17294,7.2,19186,219,48,197,2391
0,17,2,"0",7,5,8,0,0,16906,6.8,18034,218,52,760,521,15,3,"1",5,7,4,0,0,16146,6.8,17513,244,48,-760,-521
1,16,3,"0",5,4,6,0,0,16632,7,18912,233,53,1224,1259,39,3,"1",4,5,5,1,0,15408,6.8,17653,228,40,-1224,-1259
0,16,1,"0",2,11,2,0,0,13449,6.4,15122,180,44,-6076,-3107,13,2,"1",11,2,12,1,1,19525,6.8,18229,193,55,6076,3107
0,14,0,"0",8,11,9,1,0,16712,6.8,17809,190,35,-2339,-917,38,4,"1",11,8,19,0,0,19051,7.2,18726,228,40,2339,917
1,13,2,"1",3,1,4,0,0,16372,7.2,18954,279,58,2590,1325,19,4,"0",1,3,0,1,0,13782,7,17629,226,53,-2590,-1325
0,18,1,"1",9,5,6,1,0,17384,7.4,19286,235,56,2175,1409,18,8,"0",5,9,3,0,0,15209,7.2,17877,222,44,-2175,-1409
0,16,2,"1",6,7,10,1,0,17075,7,18328,229,57,1188,-284,12,0,"0",7,6,5,0,0,15887,7,18612,182,51,-1188,284
0,15,7,"0",11,7,7,0,0,18860,8,22224,233,60,1651,3902,18,3,"1",7,11,6,1,0,17209,7,18322,215,47,-1651,-3902
0,14,3,"0",5,3,4,0,0,15381,7.2,19473,211,52,-187,2135,17,1,"1",3,5,5,1,0,15568,6.8,17338,238,48,187,-2135
0,14,3,"0",2,9,2,0,0,13545,6.4,15716,180,51,-4868,-4160,16,1,"1",9,2,12,1,0,18413,7.4,19876,242,47,4868,4160
0,37,3,"0",0,5,0,0,0,13256,6.4,16464,202,43,-4149,-3222,17,4,"1",5,0,4,1,0,17405,7,19686,272,48,4149,3222
0,13,1,"0",3,6,1,0,0,14423,6.6,16966,219,48,-2602,-1426,15,4,"1",6,3,6,0,0,17025,7.2,18392,249,54,2602,1426
1,18,2,"1",7,8,5,1,0,17551,7,18910,244,49,-1018,1114,25,3,"0",8,7,10,0,1,18569,7,17796,204,49,1018,-1114
1,25,4,"0",11,6,12,0,0,19537,7,18358,189,60,2718,1185,20,1,"1",6,11,8,1,0,16819,7,17173,211,48,-2718,-1185
1,17,3,"1",17,5,16,1,0,20218,7.2,18620,199,40,4899,2415,16,2,"0",5,17,5,0,0,15319,6.4,16205,165,61,-4899,-2415
1,18,2,"0",5,5,5,0,0,15191,6.6,16443,193,49,-1344,-2597,14,1,"1",5,5,4,1,0,16535,7,19040,207,76,1344,2597
1,20,5,"1",11,3,12,1,0,18802,7,18095,224,51,3781,1725,17,3,"0",3,11,2,0,0,15021,6.6,16370,222,44,-3781,-1725
1,10,0,"1",7,3,3,1,0,17116,7.2,19290,237,65,3328,3696,11,2,"0",3,7,3,0,0,13788,6.4,15594,173,43,-3328,-3696
1,19,1,"1",11,6,15,1,0,18230,6.8,17602,195,52,2114,75,14,2,"0",6,11,7,0,0,16116,6.8,17527,198,52,-2114,-75
0,16,11,"1",6,7,3,1,0,15829,7,18055,228,48,-464,-47,43,9,"0",7,6,8,0,0,16293,7,18102,208,42,464,47
1,17,5,"0",4,2,2,2,0,14729,6.8,18508,228,40,-17,588,17,5,"1",2,4,1,0,0,14746,6.8,17920,192,69,17,-588
1,14,1,"0",8,7,9,0,0,17793,7,19086,208,77,1300,3056,23,3,"1",7,8,12,1,0,16493,6.4,16030,221,42,-1300,-3056
1,43,4,"1",7,0,15,2,0,17525,7.2,19534,240,53,3884,2315,30,5,"0",0,7,0,0,0,13641,6.8,17219,238,53,-3884,-2315
0,17,7,"0",8,9,13,1,0,17579,7.2,18266,224,41,475,1006,22,2,"1",9,8,10,0,0,17104,6.8,17260,205,36,-475,-1006
1,15,2,"1",7,4,7,2,0,18227,7.2,19568,256,61,2689,2827,15,1,"0",4,7,4,0,0,15538,6.6,16741,224,36,-2689,-2827
0,13,7,"0",4,6,1,1,0,14898,7,17842,192,48,-1367,-197,15,0,"1",6,4,10,0,0,16265,6.8,18039,219,43,1367,197
0,17,4,"1",4,8,3,1,0,15769,6.8,17360,222,59,-2999,-1476,18,3,"0",8,4,11,0,1,18768,7,18836,232,60,2999,1476
0,24,7,"0",12,12,17,1,1,19272,6.8,16786,188,36,-967,-965,18,3,"1",12,12,23,0,1,20239,7,17751,222,56,967,965
0,16,2,"1",7,4,8,1,0,17788,7.2,19078,255,58,1969,1497,16,2,"0",4,7,4,1,0,15819,6.8,17581,234,49,-1969,-1497
0,12,2,"0",3,11,4,0,0,14738,6.4,17148,197,63,-4199,-3186,16,3,"1",11,3,7,1,0,18937,7.6,20334,241,56,4199,3186
1,18,3,"1",5,6,2,0,0,16113,6.8,17058,231,39,-105,-896,16,3,"0",6,5,6,1,0,16218,7,17954,217,50,105,896
0,14,1,"1",9,5,11,1,1,18967,7.2,17807,231,42,3652,1542,40,1,"0",5,9,7,0,0,15315,6.4,16265,194,44,-3652,-1542
0,26,1,"0",2,3,4,0,0,15416,7,18096,253,64,-83,-64,14,3,"1",3,2,3,1,0,15499,7.2,18160,230,68,83,64
0,13,4,"1",9,5,8,0,0,18096,7.2,18969,232,36,2526,1379,16,2,"0",5,9,4,1,0,15570,6.8,17590,194,49,-2526,-1379
0,13,2,"0",3,6,1,1,0,14411,6.8,16806,210,54,-1864,-1945,19,0,"1",6,3,6,1,0,16275,7.2,18751,198,66,1864,1945
1,18,2,"1",4,3,2,1,0,15668,7,18873,250,48,787,481,18,2,"0",3,4,1,1,0,14881,7,18392,221,60,-787,-481
0,17,3,"1",7,7,8,1,0,16288,6.8,17321,193,68,-1222,-2334,14,2,"0",7,7,9,1,0,17510,7.2,19655,221,56,1222,2334
0,15,2,"1",11,11,13,0,0,18575,7.2,18974,198,49,-204,1350,39,2,"0",11,11,10,1,1,18779,6.8,17624,211,36,204,-1350
0,16,2,"1",6,5,4,1,0,17379,7.2,19080,251,64,1759,1710,61,1,"0",5,6,5,1,0,15620,6.8,17370,220,44,-1759,-1710
0,12,3,"0",3,8,3,1,0,15222,6.8,17667,220,55,-1650,-1358,70,1,"1",8,3,9,1,0,16872,7.2,19025,217,52,1650,1358
1,17,3,"1",5,5,6,1,0,16191,7.2,18795,238,46,290,617,15,3,"0",5,5,3,0,0,15901,7.2,18178,242,44,-290,-617
0,9,0,"1",2,5,3,1,0,14930,6.8,17328,231,61,-3418,-2689,14,2,"0",5,2,3,0,1,18348,7.4,20017,263,65,3418,2689
0,12,5,"1",7,4,8,0,0,17062,7.2,19299,238,58,1922,1870,19,2,"0",4,7,4,0,0,15140,6.8,17429,191,44,-1922,-1870
0,16,0,"0",4,8,5,0,0,14763,6.6,16159,205,44,-3584,-2457,11,5,"1",8,4,13,1,0,18347,7,18616,254,54,3584,2457
0,17,3,"1",7,10,5,0,0,15351,6,13858,169,52,-2827,-2675,17,5,"0",10,7,11,1,0,18178,6.4,16533,181,52,2827,2675
0,20,4,"0",11,7,8,0,0,17625,7,18727,212,43,817,2322,18,5,"1",7,11,7,1,0,16808,6.6,16405,209,49,-817,-2322
1,24,3,"0",3,3,5,0,0,15933,7.2,19079,259,52,75,536,15,1,"1",3,3,4,1,0,15858,7.2,18543,262,56,-75,-536
0,12,3,"0",11,14,8,0,0,18229,7.2,19238,198,48,-1502,-321,12,0,"1",14,11,14,1,0,19731,7.4,19559,186,43,1502,321
1,34,5,"0",2,7,2,0,0,15356,7,17995,230,60,-1706,-1004,20,3,"1",7,2,7,1,0,17062,7,18999,209,71,1706,1004
1,13,5,"0",7,9,6,1,0,17005,6.8,18098,216,56,274,1018,20,2,"1",9,7,10,1,0,16731,6.6,17080,200,44,-274,-1018
1,20,4,"0",7,5,8,0,0,16747,6.8,18344,198,40,1058,1735,19,8,"1",5,7,9,1,0,15689,6.6,16609,198,46,-1058,-1735
0,14,0,"0",6,7,9,0,0,16060,6.6,16426,187,50,-1776,-3265,14,1,"1",7,6,7,0,0,17836,7.2,19691,248,60,1776,3265
0,15,3,"1",5,9,8,0,0,14998,6.2,15234,197,40,-2698,-3640,16,2,"0",9,5,11,1,0,17696,7.2,18874,232,44,2698,3640
0,23,5,"1",6,7,7,0,0,16182,6.8,17791,221,49,-95,-1113,18,4,"0",7,6,11,1,0,16277,7,18904,216,60,95,1113
0,11,3,"1",8,8,7,1,0,17065,7.6,19772,214,51,519,1006,14,1,"0",8,8,6,1,0,16546,7,18766,204,51,-519,-1006
0,17,2,"1",3,4,4,1,0,15544,6.8,18579,222,80,-873,300,15,3,"0",4,3,2,0,0,16417,7,18279,240,56,873,-300
1,16,6,"0",4,9,8,1,0,16541,7,18666,225,60,-1514,-629,20,1,"1",9,4,8,0,0,18055,7.4,19295,239,45,1514,629
1,24,2,"0",6,5,9,1,0,15112,6.6,16369,184,43,-973,-674,17,1,"1",5,6,4,0,0,16085,6.8,17043,231,50,973,674
0,15,4,"0",8,11,7,0,0,17550,7,18186,229,48,-1499,-1282,14,4,"1",11,8,14,1,0,19049,7,19468,247,32,1499,1282
1,20,5,"1",8,2,9,2,0,18323,7.4,20458,262,52,4011,2732,16,7,"0",2,8,0,0,0,14312,6.6,17726,208,58,-4011,-2732
1,18,3,"1",6,1,5,2,2,18553,7,18785,248,48,4957,3218,13,2,"0",1,6,0,0,0,13596,6.4,15567,214,53,-4957,-3218
0,13,2,"0",4,4,5,0,0,15252,6.8,17517,225,46,-615,-347,14,5,"1",4,4,3,1,0,15867,6.6,17864,229,54,615,347
1,18,7,"1",7,8,3,0,0,16863,6.8,17725,206,42,783,-301,18,5,"0",8,7,7,1,0,16080,7,18026,186,44,-783,301
0,15,4,"0",1,4,2,1,0,13925,7,18363,216,60,-3617,-1967,78,1,"1",4,1,5,0,0,17542,7.4,20330,260,80,3617,1967
1,15,3,"1",7,5,8,0,0,16828,6.8,17273,217,35,912,-241,19,3,"0",5,7,5,1,0,15916,6.6,17514,217,60,-912,241
0,15,1,"1",4,9,6,1,0,15391,6.6,16275,189,46,-2746,-2775,24,4,"0",9,4,7,0,0,18137,7,19050,247,43,2746,2775
1,21,3,"1",5,2,4,0,0,16350,7,18701,245,53,1290,1337,37,6,"0",2,5,2,0,0,15060,6.8,17364,236,54,-1290,-1337
1,14,5,"0",6,6,7,0,0,17159,7.2,19172,223,56,-71,994,33,1,"1",6,6,8,1,0,17230,6.8,18178,229,43,71,-994
0,14,4,"0",4,8,3,1,0,15484,7.2,18316,226,50,-2528,-882,42,1,"1",8,4,11,1,0,18012,7.2,19198,236,56,2528,882
1,15,3,"1",5,6,4,0,0,17024,7.2,19195,254,63,901,1182,12,2,"0",6,5,7,0,0,16123,6.8,18013,214,48,-901,-1182
1,23,6,"1",10,6,13,0,0,18680,7.2,19206,220,61,2013,1022,20,2,"0",6,10,8,2,0,16667,6.8,18184,210,43,-2013,-1022
0,16,2,"0",4,11,2,2,0,14657,6.8,16983,188,59,-3113,-1771,20,1,"1",11,4,20,0,0,17770,7.2,18754,201,45,3113,1771
0,13,0,"1",6,9,5,1,0,15550,6.8,17134,191,44,-1467,-1916,15,2,"0",9,6,5,0,0,17017,7.2,19050,213,40,1467,1916
0,21,4,"0",6,12,3,1,0,15861,6.6,17082,208,47,-3197,-1400,15,4,"1",12,6,20,0,0,19058,7.4,18482,208,48,3197,1400
1,19,5,"0",2,4,2,0,0,15202,7.2,19256,225,60,-31,849,72,4,"1",4,2,3,1,0,15233,7.2,18407,218,60,31,-849
0,19,2,"0",4,7,5,1,0,15214,6.8,16970,211,40,-802,-842,15,5,"1",7,4,6,1,0,16016,6.8,17812,209,52,802,842
0,18,4,"1",8,8,12,1,0,16171,6.6,16898,214,43,-1642,-2040,16,4,"0",8,8,9,1,0,17813,7.2,18938,235,60,1642,2040
0,63,6,"0",9,4,5,0,0,18184,7.4,20169,238,52,2989,4519,23,18,"1",4,9,6,0,0,15195,6.4,15650,192,44,-2989,-4519
1,21,3,"1",5,3,8,1,0,16751,6.8,17829,247,39,2197,1707,11,1,"0",3,5,1,0,0,14554,6.2,16122,193,60,-2197,-1707
0,17,0,"0",6,1,8,1,0,16973,7,18787,250,55,2983,1577,13,4,"1",1,6,1,1,0,13990,6.8,17210,199,48,-2983,-1577
1,16,3,"0",7,7,7,2,0,17239,7.4,19174,222,48,1167,2368,12,2,"1",7,7,7,0,0,16072,6.6,16806,182,58,-1167,-2368
0,14,4,"0",2,11,4,0,0,14660,6.6,17284,232,52,-3941,-2386,17,4,"1",11,2,19,1,0,18601,7.4,19670,195,56,3941,2386
0,20,3,"1",9,8,11,1,0,17429,6.8,17309,211,48,720,-183,16,4,"0",8,9,10,0,0,16709,6.8,17492,210,50,-720,183
1,14,4,"1",8,3,8,0,0,18513,7.2,18739,250,40,4098,1004,12,0,"0",3,8,4,0,0,14415,6.8,17735,194,60,-4098,-1004
1,15,3,"1",5,2,6,1,0,16225,6.8,17742,231,56,2430,2023,16,1,"0",2,5,2,0,0,13795,6.6,15719,179,52,-2430,-2023
0,14,3,"1",5,5,5,1,0,16267,7,17908,247,60,206,-364,18,0,"0",5,5,5,0,0,16061,6.8,18272,228,54,-206,364
0,17,1,"1",3,4,4,0,0,15478,6.8,17551,233,59,-1003,-1571,16,0,"0",4,3,4,0,0,16481,7.2,19122,236,64,1003,1571
0,87,3,"0",7,3,10,2,0,16335,7.2,18087,212,56,600,-81,16,2,"1",3,7,3,0,0,15735,7,18168,246,56,-600,81
1,16,4,"0",4,5,2,0,0,14826,6.8,16660,204,49,-1596,-1318,16,4,"1",5,4,7,1,0,16422,7,17978,214,57,1596,1318
1,19,2,"1",9,7,19,0,0,19092,7.2,19183,226,44,2035,1188,18,2,"0",7,9,8,1,0,17057,7,17995,214,56,-2035,-1188
0,19,3,"1",10,7,9,1,0,17619,7.2,18563,186,49,1273,622,16,2,"0",7,10,4,1,0,16346,7,17941,186,57,-1273,-622
1,15,1,"0",9,8,9,0,0,16872,7,17906,199,36,-1232,-272,17,1,"1",8,9,6,1,0,18104,7,18178,225,48,1232,272
1,25,3,"1",8,5,9,1,0,17265,6.8,17683,233,43,1726,1423,16,3,"0",5,8,11,0,0,15539,6.4,16260,192,48,-1726,-1423
1,17,5,"1",11,7,12,0,0,19308,7.2,18764,243,49,2036,2183,17,2,"0",7,11,9,0,0,17272,6.6,16581,164,44,-2036,-2183
1,17,4,"1",7,8,8,1,0,16535,7,17930,230,28,-1123,-1665,15,1,"0",8,7,7,1,0,17658,7,19595,225,68,1123,1665
0,18,5,"0",6,8,8,0,0,16606,7,18604,226,43,-1325,64,19,4,"1",8,6,11,1,0,17931,7.2,18540,233,56,1325,-64
0,16,3,"1",9,9,10,1,0,17168,6.8,17668,212,40,-25,1849,21,3,"0",9,9,10,0,0,17193,6.6,15819,196,32,25,-1849
0,15,18,"0",4,4,6,0,0,14839,6.6,17555,215,41,-1089,-782,41,0,"1",4,4,1,0,0,15928,7,18337,225,63,1089,782
1,16,1,"1",7,6,8,0,0,17812,7,18372,244,56,1745,1180,14,3,"0",6,7,10,1,0,16067,6.8,17192,216,60,-1745,-1180
